Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP
2008-07;-2,62;-0,94;-1,54;-0,65;-3,83;-2,66;-1,90;-0,66;-1,88
2008-08;-2,66;-0,91;-1,71;-0,66;-3,43;-2,89;-2,14;-0,72;-2,04
2008-09;-1,89;-0,22;-0,72;0,79;-3,41;-2,99;-1,18;0,11;-1,27
2008-10;-2,54;-0,60;-1,77;-0,60;-3,18;-3,23;-2,32;-0,32;-2,30
2008-11;-1,81;-0,58;-1,64;-1,18;-2,59;-3,44;-2,56;-0,28;-0,63
2008-12;-2,63;-1,08;-1,52;-1,46;-2,83;-2,26;-1,60;-0,18;-0,53
2009-01;-1,94;-0,69;-0,77;-1,22;-1,85;-1,86;-1,39;-0,20;-0,02
2009-02;-1,77;-0,61;-0,77;-1,57;-1,53;-1,62;-0,67;-0,50;-0,09
2009-03;-1,56;-0,16;-0,42;-1,43;-1,12;-1,39;-0,53;-0,38;-0,10
2009-04;-1,35;-0,01;-0,32;-1,40;-0,42;-1,09;-0,10;-0,53;0,04
2009-05;-1,17;-0,17;-0,53;-1,73;-0,29;-0,90;-0,16;-0,64;-0,02
2009-06;-1,13;-0,27;-0,68;-2,28;-0,34;-0,97;-0,56;-1,13;-0,34
2009-07;-1,01;-0,15;-0,43;-2,10;-0,39;-0,82;-0,35;-1,25;-0,04
2009-08;-1,06;-0,17;-0,45;-2,22;-0,25;-0,82;-0,30;-1,33;-0,15
2009-09;-1,06;-0,09;-0,29;-2,07;-0,45;-0,56;-0,14;-1,10;0,00
2009-10;-1,31;-0,02;-0,33;-1,90;-0,36;-0,89;-0,25;-1,03;-0,09
2009-11;-1,45;-0,07;-0,39;-2,09;-0,02;-0,92;-0,25;-1,27;0,08
2009-12;-1,84;-0,24;-0,63;-2,25;-0,25;-1,34;-0,48;-1,49;0,01
2010-01;-1,98;-0,32;-0,63;-2,35;-0,32;-1,47;-0,49;-1,59;-0,02
2010-02;-1,97;-0,34;-0,67;-2,32;-0,35;-1,61;-0,53;-1,62;0,06
2010-03;-2,04;-0,32;-0,75;-2,28;-0,32;-1,66;-0,65;-1,63;0,06
2010-04;-2,19;-0,28;-0,89;-2,44;-0,36;-1,87;-0,81;-1,78;-0,02
2010-05;-2,29;-0,08;-0,73;-1,97;-0,17;-1,99;-0,74;-1,54;0,14
2010-06;-2,27;-0,25;-0,76;-1,93;-0,39;-2,06;-0,66;-1,41;0,18
